agency_cd,site_no,datetime,gage_height,qual_code
USGS,10337000,10/1/57,7.75,A
USGS,10337000,10/2/57,7.73,A
USGS,10337000,10/3/57,7.7,A
USGS,10337000,10/4/57,7.68,A
USGS,10337000,10/5/57,7.64,A
USGS,10337000,10/6/57,7.61,A
USGS,10337000,10/7/57,7.59,A
USGS,10337000,10/8/57,7.57,A
USGS,10337000,10/9/57,7.54,A
USGS,10337000,10/10/57,7.51,A
USGS,10337000,10/11/57,7.48,A
USGS,10337000,10/12/57,7.45,A
USGS,10337000,10/13/57,7.5,A
USGS,10337000,10/14/57,7.47,A
USGS,10337000,10/15/57,7.47,A
USGS,10337000,10/16/57,7.44,A
USGS,10337000,10/17/57,7.44,A
USGS,10337000,10/18/57,7.42,A
USGS,10337000,10/19/57,7.45,A
USGS,10337000,10/20/57,7.46,A
USGS,10337000,10/21/57,7.43,A
USGS,10337000,10/22/57,7.4,A
USGS,10337000,10/23/57,7.44,A
USGS,10337000,10/24/57,7.41,A
USGS,10337000,10/25/57,7.41,A
USGS,10337000,10/26/57,7.4,A
USGS,10337000,10/27/57,7.38,A
USGS,10337000,10/28/57,7.38,A
USGS,10337000,10/29/57,7.36,A
USGS,10337000,10/30/57,7.35,A
USGS,10337000,10/31/57,7.34,A
USGS,10337000,11/1/57,7.37,A
USGS,10337000,11/2/57,7.33,A
USGS,10337000,11/3/57,7.29,A
USGS,10337000,11/4/57,7.32,A
USGS,10337000,11/5/57,7.26,A
USGS,10337000,11/6/57,7.27,A
USGS,10337000,11/7/57,7.24,A
USGS,10337000,11/8/57,7.24,A
USGS,10337000,11/9/57,7.23,A
USGS,10337000,11/10/57,7.24,A
USGS,10337000,11/11/57,7.25,A
USGS,10337000,11/12/57,7.19,A
USGS,10337000,11/13/57,7.2,A
USGS,10337000,11/14/57,7.29,A
USGS,10337000,11/15/57,7.28,A
USGS,10337000,11/16/57,7.27,A
USGS,10337000,11/17/57,7.27,A
USGS,10337000,11/18/57,7.25,A
USGS,10337000,11/19/57,7.24,A
USGS,10337000,11/20/57,7.23,A
USGS,10337000,11/21/57,7.23,A
USGS,10337000,11/22/57,7.2,A
USGS,10337000,11/23/57,7.2,A
USGS,10337000,11/24/57,7.2,A
USGS,10337000,11/25/57,7.19,A
USGS,10337000,11/26/57,7.2,A
USGS,10337000,11/27/57,7.17,A
USGS,10337000,11/28/57,7.16,A
USGS,10337000,11/29/57,7.14,A
USGS,10337000,11/30/57,7.14,A
USGS,10337000,12/1/57,7.12,A
USGS,10337000,12/2/57,7.12,A
USGS,10337000,12/3/57,7.11,A
USGS,10337000,12/4/57,7.1,A
USGS,10337000,12/5/57,7.1,A
USGS,10337000,12/6/57,7.09,A
USGS,10337000,12/7/57,7.08,A
USGS,10337000,12/8/57,7.08,A
USGS,10337000,12/9/57,7.07,A
USGS,10337000,12/10/57,7.06,A
USGS,10337000,12/11/57,7.06,A
USGS,10337000,12/12/57,7.05,A
USGS,10337000,12/13/57,7.03,A
USGS,10337000,12/14/57,7.04,A
USGS,10337000,12/15/57,7.1,A
USGS,10337000,12/16/57,7.22,A
USGS,10337000,12/17/57,7.25,A
USGS,10337000,12/18/57,7.28,A
USGS,10337000,12/19/57,7.26,A
USGS,10337000,12/20/57,7.26,A
USGS,10337000,12/21/57,7.25,A
USGS,10337000,12/22/57,7.27,A
USGS,10337000,12/23/57,7.25,A
USGS,10337000,12/24/57,7.25,A
USGS,10337000,12/25/57,7.24,A
USGS,10337000,12/26/57,7.22,A
USGS,10337000,12/27/57,7.23,A
USGS,10337000,12/28/57,7.23,A
USGS,10337000,12/29/57,7.22,A
USGS,10337000,12/30/57,7.2,A
USGS,10337000,12/31/57,7.2,A
USGS,10337000,1/1/58,7.18,A
USGS,10337000,1/2/58,7.21,A
USGS,10337000,1/3/58,7.19,A
USGS,10337000,1/4/58,7.18,A
USGS,10337000,1/5/58,7.17,A
USGS,10337000,1/6/58,7.17,A
USGS,10337000,1/7/58,7.17,A
USGS,10337000,1/8/58,7.16,A
USGS,10337000,1/9/58,7.2,A
USGS,10337000,1/10/58,7.21,A
USGS,10337000,1/11/58,7.21,A
USGS,10337000,1/12/58,7.2,A
USGS,10337000,1/13/58,7.19,A
USGS,10337000,1/14/58,7.18,A
USGS,10337000,1/15/58,7.18,A
USGS,10337000,1/16/58,7.19,A
USGS,10337000,1/17/58,7.18,A
USGS,10337000,1/18/58,7.18,A
USGS,10337000,1/19/58,7.16,A
USGS,10337000,1/20/58,7.15,A
USGS,10337000,1/21/58,7.14,A
USGS,10337000,1/22/58,7.13,A
USGS,10337000,1/23/58,7.15,A
USGS,10337000,1/24/58,7.17,A
USGS,10337000,1/25/58,7.22,A
USGS,10337000,1/26/58,7.25,A
USGS,10337000,1/27/58,7.28,A
USGS,10337000,1/28/58,7.32,A
USGS,10337000,1/29/58,7.37,A
